id,artwork_name,artist_full_name,artist_first_name,artist_last_name,creation_year,century,source_url,image_url,collection_origins,artwork_type,school,original_id_in_collection,created_at,last_modified,omni_id,created_by_id,general_type,geocoded,color_palette,dominant_color,palette_count
dd5bafd3-0acb-44ba-b2e5-c05c998937b0,st sebastian,nicolas rgnier,nicolas,rgnier,1620,17,https://www.wga.hu/html/r/regnier/sebastia.html,http://www.wga.hu/art/r/regnier/sebastia.jpg,Web Gallery of Art '17,painting,french,32925,11/15/2017,12/21/2017,32918,1,painting,f,#b58125'; '#26170b'; '#221107'; '#21150d'; '#1b0f09'; '#130d09'; '#d9a44c'; '#795010'; '#2e1a0a'; '#1d1008'; '#180e08'; '#140a05',#21150d,7321; 4736; 6194; 7405; 5969; 4837; 3675; 4747; 5387; 6034; 4831; 4400
84a724cc-4e6c-445e-ba06-547649de5119,supper party (detail),gerrit van honthorst,gerrit van,honthorst,1619,17,https://www.wga.hu/html/h/honthors/1/05suppex.html,http://www.wga.hu/art/h/honthors/1/05suppex.jpg,Web Gallery of Art '17,painting,dutch,19683,11/15/2017,12/21/2017,19679,1,painting,f,#4b231f'; '#371519'; '#26151b'; '#220b13'; '#090912'; '#04050e'; '#03030b'; '#02010a'; '#c67c3c'; '#954827'; '#17121a'; '#130813',#26151b,4251; 5271; 8591; 3252; 7041; 4730; 5271; 7382; 3765; 5627; 5782; 4573
4588a0e5-450f-422d-bf80-449990bf4566,dante and the three kingdoms,domenico di michelino,domenico di,michelino,1465,15,https://www.wga.hu/html/d/domenico/michelin/dante.html,http://www.wga.hu/art/d/domenico/michelin/dante.jpg,Web Gallery of Art '17,painting,italian,11391,11/15/2017,12/21/2017,11387,1,painting,f,#bb9f72'; '#99734a'; '#654529'; '#592d1b'; '#292317'; '#1b1b14'; '#14110d'; '#0b0907'; '#815e3d'; '#46402b'; '#382819'; '#99472f',#46402b,3478; 5789; 5307; 2644; 6524; 4536; 5477; 7035; 5225; 7670; 7090; 4761
1b7f01c3-b614-415f-8512-2628febd7e18,crossing vault (detail of the west cell),cimabue cimabue,cimabue,cimabue,1277,13,https://www.wga.hu/html/c/cimabue/assisi/vault3.html,http://www.wga.hu/art/c/cimabue/assisi/vault3.jpg,Web Gallery of Art '17,painting,italian,8622,11/15/2017,12/21/2017,8618,1,painting,f,#e6cb81'; '#d6b569'; '#cfc98c'; '#b5774c'; '#b2573e'; '#aca167'; '#8c6543'; '#551f1e'; '#ede4b2'; '#d39c57'; '#814636'; '#7f2e2c',#551f1e,4470; 5659; 7547; 5518; 4319; 5438; 4151; 7947; 4149; 4632; 4681; 7025
325a8ca0-d338-4180-82ec-d520f92342da,visitation,fra angelico,fra,angelico,1433,15,https://www.wga.hu/html/a/angelico/04/3predel2.html,http://www.wga.hu/art/a/angelico/04/3predel2.jpg,Web Gallery of Art '17,painting,italia,775,11/15/2017,6/19/2018,775,1,painting,t,#ddc7a9'; '#c8af91'; '#553334'; '#31212d'; '#cb9c66'; '#a8988b'; '#a07250'; '#814e3c'; '#726665'; '#5b4848'; '#322e40'; '#25141d',#814e3c,3671; 3950; 4661; 7325; 6298; 4116; 6472; 8579; 4947; 4612; 4747; 6158
97df8ae4-b36c-4874-a104-6eb269d4d7dd,the virgin appears to the plague victims,antonio zanchi,antonio,zanchi,1666,17,https://www.wga.hu/html/z/zanchi/plague.html,http://www.wga.hu/art/z/zanchi/plague.jpg,Web Gallery of Art '17,painting,italian,44021,11/15/2017,12/21/2017,44014,1,painting,f,#d7d5d3'; '#ac9580'; '#725744'; '#3b2d26'; '#2d211c'; '#0a0706'; '#bcb4ae'; '#8b827e'; '#4f4036'; '#493024'; '#1c1612'; '#140e0b',#4f4036,3555; 3545; 6939; 5988; 6153; 6792; 5527; 4177; 8455; 4233; 5134; 5038
ffe36308-5f7a-42e2-8724-8e5f445a021e,view of naples,claude-joseph vernet,claude-joseph,vernet,1748,18,https://www.wga.hu/html/v/vernet/claude/naples.html,http://www.wga.hu/art/v/vernet/claude/naples.jpg,Web Gallery of Art '17,painting,french,42212,11/15/2017,12/21/2017,42205,1,painting,f,#ddd5cc'; '#b9b7b6'; '#908b82'; '#624d3d'; '#483d35'; '#261d19'; '#f8f6ed'; '#eee8dc'; '#cac2bb'; '#a2a2a1'; '#7a8287'; '#6f6a62',#6f6a62,5688; 4938; 4076; 4566; 4901; 7119; 3919; 5793; 5396; 6692; 5258; 7190
716b26be-d7fb-4a31-a5f5-75504e4212e7,children's games (detail),pieter the elder bruegel,pieter the elder,bruegel,1559,16,https://www.wga.hu/html/b/bruegel/pieter_e/02/16games.html,http://www.wga.hu/art/b/bruegel/pieter_e/02/16games.jpg,Web Gallery of Art '17,painting,netherlandish,6098,11/15/2017,12/21/2017,6097,1,painting,f,#cb9561'; '#be8150'; '#a66f43'; '#9e5d39'; '#794d32'; '#49291f'; '#c18856'; '#b57849'; '#b47e4d'; '#b27246'; '#a4663e'; '#231610',#49291f,3777; 5151; 5029; 5853; 5405; 8401; 4855; 5112; 2883; 5703; 5012; 8355
f8c97ab4-0d9b-4ce1-a913-c2fd897087e5,portrait of a woman in white dress,pietro antonio rotari,pietro antonio,rotari,1725,18,https://www.wga.hu/html/r/rotari/port_wom.html,http://www.wga.hu/art/r/rotari/port_wom.jpg,Web Gallery of Art '17,painting,italian,34851,11/15/2017,12/21/2017,34844,1,painting,f,#dfd9cb'; '#a9936b'; '#7c795a'; '#3d4335'; '#d8cebd'; '#d1c0a9'; '#bcb49a'; '#5c5841'; '#4b422d'; '#35382c'; '#262820'; '#16140f',#3d4335,4107; 4175; 4257; 9265; 5163; 3758; 3987; 6194; 2228; 6344; 7831; 8227
c08cce98-4a5e-4e8f-a1e1-71b2e93c64c5,soldiers playing dice and a rider before a supply tent,benjamin gerritsz. cuyp,benjamin gerritsz.,cuyp,1625,17,https://www.wga.hu/html/c/cuyp/benjamin/pairs2.html,http://www.wga.hu/art/c/cuyp/benjamin/pairs2.jpg,Web Gallery of Art '17,painting,dutch,10347,11/15/2017,12/21/2017,10343,1,painting,f,#cdbfa4'; '#9e6d2e'; '#892f08'; '#84410c'; '#5d3b10'; '#4d290b'; '#c5ae8d'; '#ba986e'; '#a67e4c'; '#993e13'; '#855a1d'; '#6e420b',#892f08,4135; 3755; 9203; 3979; 4562; 6258; 5590; 5658; 6367; 5368; 5008; 5653
